,Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Description,Count of text reviews,book_id
463040,892777,The Big Book of Hell,1:66,169,4:1439,total:4412,31,10,Pantheon,48,1990,eng,Matt Groening,4.12,2:181,5:1913,0679727590,3:813,"Painstakingly assembled and rigorously organized by that master of clutter, Matt Groening, this is not another mini-jumbo, hard-to-read, abbreviated compendium in that seemingly endless series of discourses on hell but a gargantuan historical extravaganza of ten years' worth of the everpopular ""Life in Hell ""RM"" "" cartoon strip, which still mysteriously appears weekly in several hundred newspapers tricoastally. Read the whole story of ""Life in Hell ""RM"" ,"" from early prehistory to late last night.",48.0,463040
463760,894846,The Dress Lodger,1:308,291,4:2604,total:7276,24,4,Atlantic Monthly Press,17,2001,,Sheri Holman,3.5700000000000003,2:756,5:1461,0871137534,3:2147,"In a novel set in the filth and depravity of London's mean streets during the Industrial Revolution, a prostitute borrows a blue dress to attract a higher class of client and is shadowed through the streets by an evil old woman hired by the dress' owner to keep an eye on her.",17.0,463760
464069,895832,The House of Sleep,1:119,331,4:3582,total:8945,17,2,Alfred a Knopf,6,1998,,Jonathan Coe,3.95,2:481,5:2801,0375400931,3:1962,"Winner of the Writers' Guild Best Fiction Award in England and the Prix MÃ© dicis in France<br />Like a surreal and highly caffeinated version of The Big Chill, Jonathan Coe's new novel follows four students who knew each other in college in the eighties. Sarah is a narcoleptic who has dreams so vivid she mistakes them for real events. Robert has his life changed forever by the misunderstandings that arise from her condition. Terry spends his wakeful nights fueling his obsession with movies. And an increasingly unstable doctor, Gregory, sees sleep as a life-shortening disease which he must eradicate.<br />But after ten years of fretful slumber and dreams gone bad, the four reunite in their college town to confront their disorders. In a Gothic cliffside manor being used as a clinic for sleep disorders, they discover that neither love, nor lunacy, nor obsession ever rests.",6.0,464069
464231,896326,Of Grammatology,1:150,446,4:1465,total:4668,1,1,Johns Hopkins University Press,14,1977,,Jacques Derrida,3.96,2:300,5:1799,0801818796,3:954,"The author is one of the most acclaimed thinker, and expounder of philosophic process of thought of our time. Influence enough to have affected the entire French critical scene, Jacques Derrida has been hailed as the most important philosopher in France today. His ideas of reading and writing, his notion of de-construction, his reinterpretations of phenomenology, of psychoanalysis, and of strucuralism have profoundly influenced the vanguard of European and American criticism and have occasioned lively controversy. Derrida`s philosophical background baffles some literary critics. This role of exposing the common assumption shared by combatants in a controversy raises Derrida`s importance above merely the French scene.",14.0,464231
464431,896847,"The Curse of the Pharaohs (Amelia Peabody, #2)",1:84,285,4:7962,total:18892,1,1,Armchair Detective Library,0,1990,,Elizabeth Peters,4.0,2:552,5:5872,0922890390,3:4422,"Victorian Amelia Peabody continues to journal her Egypt adventures, toddler Ramses left in England. Husband Radcliffe Emerson's old friend Lady Baskerville fears a curse killed her husband Sir Henry, and soon engages the attentions of American Cyrus. The will funds continued excavation. But a lady dressed in white floats, flutters, spreads fear, and more death.",0.0,464431
465001,898454,Twisted,1:7,352,4:18,total:83,1,7,Pinnacle,13,2006,,Jay Bonansinga,3.24,2:16,5:16,0786017244,3:26,"FBI profiler Ulysses Grove's escape to a peaceful rural retreat is shattered by a new case that thrusts him back into the harrowing world of serial killers--and a fight against evil that will take him to the edge of sanity and into the very eye of mortal danger. . . <br /><br /><b> Twisted</b> <br /><br /> In the heart of New Orleans, a serial killer is at work. While the city struggles to rebuild, he seeks only to destroy. His victims are offerings, surrounded by objects as mysterious as the French Quarter itself. For Special Agent Ulysses Grove the case is personal. The latest victim, a respected Tulane professor, was also a dear friend whose death holds startling clues to this madness. As Grove and journalist Maura County pore through cold cases and the dead man's half-destroyed notes, a terrifying truth begins to unfold: a Mayan expedition gone wrong, an ancient civilization, ritual human sacrifices, and a serial killer who has tapped the secrets of indestructible power. <br /><br /> Now, as a storm season threatens the Gulf Coast, Grove is on the hunt for a twisted psychopath with a deep connection to his own past--one who sees Grove as the ultimate trophy. . .",13.0,465001
465135,898897,Don't Let Go,1:1,32,4:11,total:43,12,5,Putnam Juvenile,9,2003,,Jeanne Willis,3.77,2:6,5:15,039924008X,3:10,"Learning to ride a bike can be terrifying--for parent and child.Megan is understandably nervous about learning to ride her bike. What if the bike goes too fast and she falls? Daddy is patient and encouraging, letting her know she can wait until she's ready. And then it's time--Daddy lets go and Megan is off. Now Daddy is the nervous one. What if Megan doesn't come back? It's a big world out there, and he isn't ready to let her go. But Megan understands:",9.0,465135
465482,899813,Paris Trout,1:126,306,4:2562,total:6093,1,8,Penguin Books,340,1989,eng,Pete Dexter,3.88,2:333,5:1680,0140122060,3:1392,"In this novel of social drama, a casual murder in the small Georgia town of Cotton Point just after World War II and the resulting court case cleave open the ugly divisions of race and class. The man accused of shooting a black girl, a storekeeper named Paris Trout, has no great feeling of guilt, nor fear that the system will fail to work his way. Trout becomes an embarrassment to the polite white society that prefers to hold itself high above such primitive prejudice. But the trial does not allow any hiding from the stark reality of social and racial tensions. Dexter, a former newspaper columnist, is also the author of ""Deadwood"" and ""God's Pocket"". <br /><br />Paris Trout won the 1988 National Book Award.",340.0,465482
465761,900470,"The Adventures of Tintin, Volume 8: The Castafiore Emerald / Flight 714 to Sydney / Tintin and the Picaros / Tintin and Alph-Art (tintin, #21-24)",1:10,288,4:392,total:1187,1,2,Egmont Books (UK),25,2007,,HergÃ©,4.3,2:18,5:595,1405229012,3:172,,25.0,465761
465786,900518,"The Crab with the Golden Claws (Tintin, #9)",1:60,62,4:4300,total:11499,1,1,Routledge,1,1986,,HergÃ©,4.08,2:351,5:4287,0416605001,3:2501,,1.0,465786
466547,902715,"Before They Are Hanged (The First Law, #2)",1:667,441,4:43555,total:107605,15,3,Gollancz,2827,2007,eng,Joe Abercrombie,4.3,2:1907,5:49596,0575077883,3:11880,"Superior Glokta has a problem. How do you defend a city surrounded by enemies and riddled with traitors, when your allies can by no means be trusted, and your predecessor vanished without a trace? Itâs enough to make a torturer want to run â if he could even walk without a stick.<br /><br />Northmen have spilled over the border of Angland and are spreading fire and death across the frozen country. Crown Prince Ladisla is poised to drive them back and win undying glory. There is only one problem â he commands the worst-armed, worst-trained, worst-led army in the world.<br /><br />And Bayaz, the First of the Magi, is leading a party of bold adventurers on a perilous mission through the ruins of the past. The most hated woman in the South, the most feared man in the North, and the most selfish boy in the Union make a strange alliance, but a deadly one. They might even stand a chance of saving mankind from the Eaters. If they didnât hate each other quite so much.<br /><br />Ancient secrets will be uncovered. Bloody battles will be won and lost. Bitter enemies will be forgiven â but not before they are hanged.<br /><br />",2827.0,466547
466553,902735,Purple Hibiscus,1:402,307,4:29098,total:66246,1,1,New York,14,2004,,Chimamanda Ngozi Adichie,4.18,2:1454,5:25627,0007176112,3:9665,"A haunting tale of an Africa and an adolescence undergoing tremendous changes by a talented young Nigerian writer. Fifteen-year-old Kambili's world is circumscribed by the high walls of her family compound and the frangipani trees she can see from her bedroom window. Her wealthy Catholic father, although generous and well-respected in the community, is repressive and fanatically religious at home. Her life is lived under his shadow and regulated by schedules: prayer, sleep, study, and more prayer. She lives in fear of his violence and the words in her textbooks begin to turn to blood in front of her eyes. When Nigeria begins to fall apart under a military coup, Kambili's father, involved in mysterious ways with the unfolding political crisis, sends Kambili and her brother away to their aunt's. The house is noisy and full of laughter. Here she discovers love and a life -- dangerous and heathen -- beyond the confines of her father's authority. The visit will lift the silence from her world and, in time, reveal a terrible, bruising secret at the heart of her family life. between the old gods and the new; between childhood and adulthood; between love and hatred. An extraordinary debut, Purple Hibiscus is a compelling novel which captures both a country and an adolescence at a time of tremendous change.",14.0,466553
466612,902891,Rocannon's World,1:238,156,4:4337,total:11717,1,8,Ace,10,1980,eng,Ursula K. Le Guin,3.75,2:718,5:2799,044173295X,3:3625,"A world shared by three native humanoid races - the cavern-dwelling Gdemiar, elvish Fiia, and warrior clan, Liuar - is suddenly invaded and conquered by a fleet of ships from the stars. Earth scientist Rocannon is on that world, and he sees his friends murdered and his spaceship destroyed. Marooned among alien peoples, he leads the battle to free this new world - and finds that legends grow around him even as he fights.",10.0,466612
466682,903074,The Savage Detectives,1:858,577,4:9780,total:31370,1,10,Picador USA,15,2007,,Roberto BolaÃ±o,4.12,2:1798,5:14503,0330445146,3:4431,"New Year's Eve, 1975: Arturo Belano and Ulises Lima, poets and leaders of a movement they call visceral realism, leave Mexico City in a borrowed white Impala. Their mission: to track down the poet Cesarea Tinajero, who disappeared into the Sonora desert - and obscurity - decades before. But the detectives are themselves hunted men, and their search for the past will end in violence, flight, and permanent exile. In this dazzling novel, Roberto Bolano tells the story of two modern-day Quixotes on a twenty-year, multi-continent, tragicomic quest through a darkening universe.<br /><br />'A unique voice asserting the importance and exuberance of literature. . . Bolano writes with such elegance, verve and style and is so immensely readable. He makes you feel changed for having read him; he adjusts your angle of view on the world' ""Guardian""<br /><br />'Part road movie, part joyful, nostalgic confession. A masterpiece' "" Daily Telegraph""<br /><br />'Extraordinary . . . A portrait of people for whom literature is bread and water, sex and death. The abiding message to be taken from Bolano's novel, and maybe from his fraught life, too: books matter' ""GQ""",15.0,466682
467178,904568,The Gospel According to Larry,1:120,219,4:1296,total:3565,13,5,Laurel Leaf,46,2003,,Janet Tashjian,3.75,2:261,5:944,0440237920,3:944,"Josh Swenson is not your average seventeen-year-old. At the age of two, he was figuring out algebraic equations with colored magnetic numbers. He is a prodigy who had always enjoyed learning. And he's only wanted one thing his entire life-to contribute and make the world a better place.<br /> Josh's wish comes true when his virtual alter ego, Larry, becomes a huge media sensation. Larry has his own Web site, where he posts sermons on anticonsumerism and has a large following of adults and teens. Meanwhile, Larry's identity is a mystery to everyone, including Josh's best friend, Beth, whom he has been in love with for years<br /> While it seems as if the whole world is trying to figure out Larry's true identity, Josh feels trapped inside his own creation. What will happen to the world, and to Larry, if he is exposed?",46.0,467178
467799,906206,The Wanderers,1:20,256,4:671,total:1603,15,4,Mariner Books,20,1999,,Richard Price,3.9,2:71,5:443,0395977746,3:398,"A teenage gang comes of age in the 1960s Bronx. Written when the author was twenty-four, this story was the basis for a major feature film.",20.0,467799
468471,907967,Jarhead : A Marine's Chronicle of the Gulf War and Other Battles,1:210,384,4:3356,total:8789,27,9,Pocket,12,2005,en-US,Anthony Swofford,3.66,2:713,5:1786,141651340X,3:2724,"Anthony Swofford's <i>Jarhead</i> is the first Gulf War memoir by a frontline infantry marine, and it is a searing, unforgettable narrative.<p>When the marines -- or ""jarheads,"" as they call themselves -- were sent in 1990 to Saudi Arabia to fight the Iraqis, Swofford was there, with a hundred-pound pack on his shoulders and a sniper's rifle in his hands. It was one misery upon another. He lived in sand for six months, his girlfriend back home betrayed him for a scrawny hotel clerk, he was punished by boredom and fear, he considered suicide, he pulled a gun on one of his fellow marines, and he was shot at by both Iraqis and Americans. At the end of the war, Swofford hiked for miles through a landscape of incinerated Iraqi soldiers and later was nearly killed in a booby-trapped Iraqi bunker.</p><p>Swofford weaves this experience of war with vivid accounts of boot camp (which included physical abuse by his drill instructor), reflections on the mythos of the marines, and remembrances of battles with lovers and family. As engagement with the Iraqis draws closer, he is forced to consider what it is to be an American, a soldier, a son of a soldier, and a man.</p><p>Unlike the real-time print and television coverage of the Gulf War, which was highly scripted by the Pentagon, Swofford's account subverts the conventional wisdom that U.S. military interventions are now merely surgical insertions of superior forces that result in few American casualties. <i>Jarhead</i> insists we remember the Americans who are in fact wounded or killed, the fields of smoking enemy corpses left behind, and the continuing difficulty that American soldiers have reentering civilian life.</p><p>A harrowing yet inspiring portrait of a tormented consciousness struggling for inner peace, <i>Jarhead</i> will elbow for room on that short shelf of American war classics that includes Philip Caputo's <i>A Rumor of War</i> and Tim O'Brien's <i>The Things They Carried,</i> and be admired not only for the raw beauty of its prose but also for the depth of its pained heart.</p>",12.0,468471
468889,909281,The Tennis Partner,1:50,352,4:2591,total:5675,20,8,Chatto  Windus,0,1998,,Abraham   Verghese,3.9,2:246,5:1438,0701165529,3:1350,"In January 1994, Abraham Verghese, an indian doctor in a Texan teaching hospital, was called to the morgue to identify the body of his close friend, student and tennis partner David Smith. David had killed himself because he could not deal with his addiction to intravenously injected cocaine. This book is Verghese's tribute to his dead friend; it is also an attempt to understand and explain drug addiction. Being both doctor and friend, Verghese offers us a unique insight into addiction, describing with clinical detachment the horrific physical symptoms of abuse, revealing how the stress of the medical profession leads to the paradox of doctors as users and movingly evoking the pain of seeing a friend suffer. Written with great clarity and tenderness, this is an extraordinary and important book about male friendship and a moving portrait of a brilliant young man who fought valiantly against a profound sense of inadequacy.",0.0,468889
468952,909486,Mission of Gravity,1:95,233,4:2400,total:6652,12,4,Del Rey,4,1979,,Hal Clement,3.91,2:396,5:2135,0345270924,3:1626,"Cover Artist: Ed Emshwiller<br /><i>Mission of Gravity</i> is an sf novel by Hal Clement. The title is a play on words, one meaning ""the force which pulls"" &amp; the other being ""extremely serious or important"". It was serialized in <i>Astounding Science Fiction</i>, 4â7/53. Its 1st cloth publication was in '54. It was 1st published in paper in '58. Along with the novel itself, many editions (&amp; most recent editions) of the book also include <i>Whirligig World</i>, an essay on creating the planet Mesklin that was published in the 6/53 Astounding. He published two sequels, a '70 novel called <i>Star Light</i> &amp; a '73 short story called <i>Lecture Demonstration</i>. <i>Mission of Gravity</i> was nominated for a Retro Hugo Award for '54.<br /><br />For a profit &amp; adventure Barlennan would sail thousands of miles across uncharted waters, into regions where gravity played strange tricks. He'd dare the perils of strange tribes &amp; stranger creatures--even dicker with those aliens from beyond the skies, though the concept of another world was unknown to the inhabitants of the planet of Mesklin. But in spite of the incredible technology of the strangers &amp; without regard for their enormous size, Barlennan had the notion of turning the deal to an unsuspected advantage for himself--a considerable enterprise for a being very much resembling a 15"" caterpillar!",4.0,468952
469379,910676,Blood and Chocolate,1:1269,264,4:11376,total:37599,14,8,Ember,71,2007,,Annette Curtis Klause,3.78,2:3487,5:11922,0385734212,3:9545,"Vivian Gandillon relishes the change, the sweet, fierce ache that carries her from girl to wolf. At sixteen, she is beautiful and strong, and all the young wolves are on her tail. But Vivian still grieves for her dead father; her pack remains leaderless and in disarray, and she feels lost in the suburbs of Maryland. She longs for a normal life. But what is normal for a werewolf?<br /><br />Then Vivian falls in love with a human, a meat-boy. Aiden is kind and gentle, a welcome relief from the squabbling pack. He's fascinated by magic, and Vivian longs to reveal herself to him. Surely he would understand her and delight in the wonder of her dual nature, not fear her as an ordinary human would.<br /><br />Vivian's divided loyalties are strained further when a brutal murder threatens to expose the pack. Moving between two worlds, she does not seem to belong in either. What is she really--human or beast? Which tastes sweeter--blood or chocolate?",71.0,469379
469458,910863,"Spin (Spin, #1)",1:382,464,4:14243,total:34265,7,2,Tor Science Fiction,1975,2006,eng,Robert Charles Wilson,4.02,2:1433,5:11424,076534825X,3:6783,"One night in October when he was ten years old, Tyler Dupree stood in his back yard and watched the stars go out. They all flared into brilliance at once, then disappeared, replaced by a flat, empty black barrier. He and his best friends, Jason and Diane Lawton, had seen what became known as the Big Blackout. It would shape their lives.<br /><br />Life on Earth is about to get much, much stranger.",1975.0,469458
470217,912842,Everything's Eventual,1:664,416,4:34036,total:86781,1,3,Hodder & Stoughton,25,2002,eng,Stephen King,3.97,2:3522,5:27384,0340770732,3:21175,"A wonderfully diverse volume of compelling stories showing the richness, depth and variety of Stephen King's highly-acclaimed storytelling. The collection will include enthralling masterpieces such as <i>LT's Theory of Pets, In the Deathroom</i> and <i>1408</i>; classic tales of supernatural and psychological terror and tales of everyday life with unexpected and brilliant twists such as <i>Autopsy Room Four</i>. It will also contain the highly publicised <i>Riding the Bullet</i>, only previously available as an ebook.<br /><br />The stories are new or have only been published as audio books, in magazines or limited book collections.",25.0,470217
470674,914198,Me Llamo Rojo,1:1288,688,4:16222,total:43695,1,7,Punto de Lectura,2,2005,spa,Orhan Pamuk,3.85,2:3172,5:13382,8466313516,3:9631,"?In 16th-century Istanbul, master miniaturist and illuminator of books Enishte Effendi is commissioned to illustrate a book celebrating the sultan. Soon he lies dead at the bottom of a well. How he got there is the crux of this novel. Narrators give ? the reader not only a nontraditional murder mystery but insight into the mores and customs of the time. ?",2.0,470674
470721,914346,The Queen of the South,1:214,448,4:4455,total:11446,3,6,Putnam Adult,27,2004,,Arturo PÃ©rez-Reverte,3.93,2:603,5:3617,0399151850,3:2557,"The critically acclaimed, beloved, and bestselling author of <i>The Club Dumas</i> and <i>The Nautical Chart</i> delivers his most magniÃcent novel to date. <br /><br /> Few authors inspire the kind of passion that Arturo PÃ©rez-Reverte does. Reviewers, readers, and booksellers alike have embraced his fiction as the perfect blend of suspense and literary ambition. A global bestseller, he is one of the most admired and widely read authors in the world. And his stunning new novel is his best yet. <br /><br /> A remarkable tale, <i>The Queen of the South</i> spans continents, from the dusty streets of Mexico to the sparkling waters off the coast of Morocco, to Spain and the Strait of Gibraltar. A sweeping story set to the irresistible beat of the drug smugglers' ballads, it encompasses sensuality and cruelty, love and betrayal, as its heroine's story unfolds. <br /><br /> Teresa Mendoza's boyfriend is a drug smuggler who the narcos of Sinaloa, Mexico, call ""the king of the short runway,"" because he can get a plane full of coke off the ground in three hundred yards. But in a ruthless business, life can be short, and Teresa even has a special cell phone that Guero gave her along with a dark warning. If that phone rings, it means he's dead, and she'd better run, because they're coming for her next. <br /><br /> Then the call comes. <br /><br /> In order to survive, she will have to say goodbye to the old Teresa, an innocent girl who once entrusted her life to a pinche narco smuggler. She will have to find inside herself a woman who is tough enough to inhabit a world as ugly and dangerous as that of the narcos-a woman she never before knew existed. Indeed, the woman who emerges will surprise even those who know her legend, that of the Queen of the South.",27.0,470721
471053,915262,"Girl, 15, Charming but Insane (Jess Jordan, #1)",1:125,214,4:1608,total:4733,10,8,Delacorte Books for Young Readers,233,2004,,Sue Limb,3.67,2:429,5:1119,0385732147,3:1452,"Life was tragic enough before this spring started. With a distinct lack of boobage and an arse so big that birds of prey could nest within its shadows, Jess Jordan is saddled with the Goddess Flora for a best friend, a Britney Spears look-alike so gorgeous that one grain of her divine dandruff could make the blind see again. Jess knows that her soul mate is Ben Jones, a divine mixture of Leonardo diCaprio, Prince William, and Brad Pitt who oozes mystery and charisma. But the campaign to get Ben to notice her brings on a cavalcade of mortification and disaster, including, but not limited to, a minestrone soup explosion that takes place in her bra and a schoolwide viewing of a videotape that features a topless Jess referring to her breasts as âBonnieâ and âClyde.â<br /><br />Meanwhile, Jessâs death-obsessed Granny moves into her bedroom, along with her grandfatherâs remains; her hypochondriac dad, who sends her daily âhorrorscopesâ like âYou will fall asleep with your mouth open, and a family of earwigs will move in,â acts strange about Jess staying with him this summer; and her longtime friend Fred, a television violence addict and closet thumbsucker, has decided that he canât stand being around her. Jess is determined to make things right . . . but with her offbeat sense of humor and her wildly active imagination, things get complicated along the way.",233.0,471053
471131,915599,"The White Mountains (The Tripods, #1)",1:193,164,4:4716,total:11531,1,4,Simon & Schuster Children's Publishing,6,2003,,John Christopher,3.94,2:482,5:3487,0689855044,3:2653,"On an Earth where the Tripods -- huge, three -- legged machines -- have ruled for as long as anyone can remember, thirteen-year-old Will harbors fears about the Capping ceremony he will soon undergo. Capping marks the transition from childhood into adulthood, but it also has a more sinister meaning: It is the Tripods who attach the metal headpieces to people's skulls, and once Capped, a person is forever a slave to them. As Will learns the truth, he realizes that he must escape while his mind is still his own. With two companions, he begins a journey across Europe to find the stronghold of the last free people in the world -- in the White Mountains of Switzerland. Thirty-five years after its original publication, we are proud to offer this anniversary edition of ""The White Mountains, "" featuring a new preface from John Christopher, as well as the author's fully revised text, available in the United States for the first time.",6.0,471131
471199,915797,"B is for Burglar (Kinsey Millhone, #2)",1:221,384,4:18319,total:45169,1,2,MacMillan General Books,17,2008,eng,Sue Grafton,3.85,2:1662,5:11063,0330315838,3:13904,"Although business has been slow lately for P.I. Kinsey Millhone, she's reluctant to take on the case of locating Beverly Danziger's sister Elaine Boldt. It's a small matter that Beverly should be able to handle herself. So why is she enlisting Kinsey's services? Beverly claims she needs Elaine's signature on some documents so that she can collect a small inheritance. But the whole affair doesn't sit well with Kinsey. And if there's something she's learned in her line of work, it's to always follow your instinctsâ¦<br /><br />Kinsey's hunch proves true when she begins her inquiries into Elaine's whereabouts and discovers that the attractive widow was last seen in a flashy lynx coat boarding a plane for Boca Raton. But the more Kinsey searches for Elaine the more questions she encounters. Is Elaine's disappearance tied in to the brutal murder several months ago of one of her bridge partners? And what happened to Elaine's Persian cat who seems to have also vanished?<br /><br />Things take a turn for the worse when a stranger vandalizes the home of one of Elaine's neighbors and another neighbor turns up murdered. With her reputation and career on the line, Kinsey risks all to find a missing woman and a killer who's waiting in the shadows to strike again...",17.0,471199
471439,916395,The Assassini,1:38,688,4:526,total:1473,1,8,Bantam,60,1991,,Thomas Gifford,3.72,2:140,5:376,0553287400,3:393,"It is 1982.Â Â In the Vatican, priestly vultures gather around the dying Pope, whispering the names of possible successors.Â Â In a forgotten monastery on Ireland's gale-swept coast, a dangerous document is hidden, waiting to be claimed.Â Â And in a family chapel in Princeton, New Jersey, a nun is murdered at her prayers.Â Â Sister Valentine was an outspoken activist, a thorn in the Church's side.Â Â When her brother, lawyer Ben Driskill, realizes the Church will never investigate her death, he sets out to find the murderer himself--and uncovers an explosive secret.<i>The Assassini</i>.Â Â An age-old brotherhood of killers.Â Â Once they were hired by princes of the Church to protect it in dangerous times.Â Â But whose orders do they now obey?<br /><br /><i>The Assassini</i> marks the triumphant retum of a master at the peak of his powers--the first novel in more than a decade from the acclaimed author of <i>The Wind Chill Factor</i>.",60.0,471439
471453,916422,The Painter,1:16,336,4:104,total:334,29,4,Bantam,30,2003,,Will Davenport,3.43,2:45,5:58,0553382063,3:111,"In the tradition of possession and girl with a pearl earring, this suspenseful, erotic novel seamlessly weaves fact and fiction into a brilliant tapestry of love, art, deception, and danger--at the center of which lies a centuries-old secretâ¦ <br /><br /><b>The Painter<br /><br /></b>In an old manor house on the legendary river Hull, Amy Dale has discovered a journal that holds the account of a thrilling duel of seduction--and the key to a missing year in the life of a great artist. Over three hundred years ago, Rembrandt van Rijn challenged the poet Andrew Marvell for the affection of Amyâs ancestor Amelia Dahl. But the fierce competition between those two men for Ameliaâs heart has repercussions for the new inhabitants of the manor. <br /><br />Now, as Amy reads the pages of her namesakeâs intimate diary and plans the restoration of the old house, she finds herself engaged in her own game of wit, seduction, and desire with a scarred and enigmatic laborer. As their attraction explodes in intensity, the secrets of the past escape from history into the present with consequences they could never expect...and may not survive.",30.0,471453
471835,917346,All Over Creation,1:65,432,4:2100,total:5080,30,3,Penguin Books,548,2004,,Ruth Ozeki,3.78,2:339,5:1176,0142003891,3:1400,"A warm and witty saga about agribusiness, environmental activism, and communityâfrom the celebrated author of <i>My Year of Meats </i>and <i>A Tale for the Time Being</i>.<br /><br />Yumi Fuller hasnât set foot in her hometown of Liberty Falls, Idahoâheart of the potato-farming industryâsince she ran away at age fifteen. Twenty-five years later, the prodigal daughter returns to confront her dying parents, her best friend, and her conflicted past, and finds herself caught up in an altogether new drama. The post-millennial farming community has been invaded by Agribusiness forces at war with a posse of activists, the Seeds of Resistance, who travel the country in a camping car, âThe Spudnick,â biofueled by pilfered McDonaldâs french-fry oil. <br /><br />Following her widely hailed, award-winning debut novel, <i>My Year of Meats</i>, Ruth Ozeki returns here to deliver a quirky cast of characters and a wickedly humorous appreciation of the foibles of corporate life, globalization, political resistance, youth culture, and aging baby boomers. <i>All Over Creation </i>tells a celebratory tale of the beauty of seeds, roots, and growthâand the capacity for renewal that resides within us all.",548.0,471835
472677,919538,Into the Water,1:5,244,4:56,total:171,14,6,St. Martin's Paperbacks,16,2004,eng,Diane Fanning,3.66,2:25,5:46,0312985266,3:39,"To authorities she spilled the shocking details of a night of horror. It was the lead they'd been desperate for in a multi-state manhunt for an elusive serial killer. Where the witness took them was to the last man anyone would have suspected.<br /><br />Richard Marc Evonitz was beloved by friends and family. He was handsome, intelligent, and compassionate. Serving a spotless eight years in the U.S. Navy, he was a town hero who lived in harmony in an exclusive South Carolina neighborhood. The only ones who saw Evonitz's dark side were his victims. They were helpless teenage girls who, one by one, were subjected to his twisted sexual fantasies of kidnap, rape, and murderâuntil his double life came undone by the brave cunning of his last young victim. But as authorities and the media descended upon him, Evonitz had one more shocking surprise in store for everyoneâa stunning final act of violence and reckoning that would turn a bright sunlit morning blood red.",16.0,472677
472979,920432,"Girl, Nearly 16: Absolute Torture (Jess Jordan, #2)",1:24,216,4:539,total:1578,11,10,Delacorte Press,76,2005,en-US,Sue Limb,3.7,2:129,5:375,0385732163,3:511,"Just when things were going so well. <br />Jess had the perfect summer planned: She and Fred, lounging in the park, gazing into one another's eyes and engaging in witty repartee. It was going to be so romantic. And then her maddening mum stepped in: She suddenly announced a two-week ""road trip"" to Cornwall to visit Jess's dad, something Jess might have enjoyed, actually, were it not for the monstrously bad timing. Not only will this force Jess and Fred apart for two whole weeks, it will also leave the darling and handsome Fred in the clutches of Jess's blindingly beautiful best friend, Flora--who, you might recall, expressed an interest in Fred not too long ago. As if all this weren't enough, Jess's mum seems to expect her to weep at the grave of every departed literary hero in Britain's long history. ""It's absolute torture."" And little does Jess know, a huge surprise awaits her when she visits her dad at his home for the first time in years.",76.0,472979
473054,920607,The Arrival,1:939,132,4:12483,total:46183,12,10,Lothian Books,3814,2007,eng,Shaun Tan,4.33,2:1516,5:26126,,3:5119,"In a heartbreaking parting, a man gives his wife and daughter a last kiss and boards a steamship to cross the ocean. He's embarking on the most painful yet important journey of his life- he's leaving home to build a better future for his family.<br /><br />Shaun Tan evokes universal aspects of an immigrant's experience through a singular work of the imagination. He does so using brilliantly clear and mesmerizing images. Because the main character can't communicate in words, the book forgoes them too. But while the reader experiences the main character's isolation, he also shares his ultimate joy.",3814.0,473054
473230,921207,Sophie's World,1:4921,523,4:67072,total:190915,1,1,Berkley Trade,23,1997,,Jostein Gaarder,3.93,2:12194,5:66091,0425156842,3:40637,"One day when Sophie comes home from school, she finds two questions in her mail: Who are you? and Where does the world come from? Before she knows it, she is pondering all the great questions of Western philosophy (from the Greeks to Kant, to Marx and Freud) with a mysterious mentor. But Sophie is also receiving a separate batch of equally unusual letters. Who is Hilde? And why does her mail keep turning up in Sophie's world? To solve this riddle, Sophie uses her new knowledge of philosophy, but the truth is far stranger than she could have imagined.",23.0,473230
473479,922002,"Master and Commander (Aubrey/Maturin, #1)",1:724,412,4:15295,total:44414,17,11,W. W. Norton  Company,63,1994,eng,Patrick O'Brian,4.1,2:2133,5:18562,0393037010,3:7700,"This, the first in the splendid series of Jack Aubrey novels, establishes the friendship between Captain Aubrey, R.N., and Stephen Maturin, ship's surgeon and intelligence agent, against a thrilling backdrop of the Napoleonic wars. Details of a life aboard a man-of-war are faultlessly rendered: the conversational idiom of the officers in the ward room and the men on the lower deck, the food, the floggings, the mysteries of the wind and the rigging, and the roar of broadsides as the great ships close in battle.",63.0,473479
473870,923285,"The History of Sexuality, Volume 1: An Introduction",1:256,176,4:6711,total:17624,29,11,Penguin Books Ltd,0,1984,eng,Michel Foucault,4.04,2:798,5:6488,0140551549,3:3371,"Michel Foucault offers an iconoclastic exploration of why we feel compelled to continually analyze and discuss sex, and of the social and mental mechanisms of power that cause us to direct the questions of what we are to what our sexuality is.",0.0,473870
474803,925826,Re-Gifters,1:57,174,4:840,total:2485,6,6,Minx Books,204,2007,eng,Mike Carey,3.63,2:204,5:524,140120371X,3:860,"Jen Dik Seong, aka Dixie, is dirt poor and living on the ragged edge of LA's Koreatown. Her only outlet is the ancient martial art of hapkido, and she's on the verge of winning a championship--until she falls for surfer boy Adam. Older teens.",204.0,474803
